AGE (IN MONTHS),BOYS WEIGHT (KG),BOYS HEIGHT (CM),GIRLS WEIGHT (KG),GIRLS HEIGHT (CM)
0,2.5-3.3,46.1-50.5,2.5-3.3,45.4-49.9
1,3.5-4.4,50.8-54,3.3-4.2,49.8-53.3
2,4.4-5.5,54.4-57.5,4.0-5.0,53-56.7
3,5-6.3,57.3-61.1,4.5-5.8,55.6-60.2
4,5.6-7,59.7-63.3,5-6.3,57.8-62.3
5,6-7.4,61.7-65.5,5.4-6.8,59.6-64.4
6,6.4-7.8,63.3-67.8,5.6-7.2,61.2-66.6
7,6.7-8.1,64.8-69.3,6-7.6,62.7-68.1
8,6.9-8.4,66.2-70.8,6.3-7.9,64-69.6
9,7.2-8.7,67.5-72.3,6.5-8.2,65.3-71.1
10,7.4-9,68.7-73.6,6.7-8.4,66.5-72.4
11,7.5-9.2,69.9-74.9,6.9-8.6,67.7-73.7
12,7.8-9.5,71-76.1,7-8.9,68.9-75
13,7.9-9.7,72.1-76.9,7.2-9.1,70-75.8
14,8.1-10,73.1-77.7,7.4-9.3,71-76.6
15,8.3-10.2,74.1-78.5,7.6-9.6,72-77.4
16,8.5-10.4,75-79.3,7.8-9.8,73-78.2
17,8.6-10.5,76-80.1,7.9-10.1,74-79
18,8.8-10.7,76.9-80.9,8.1-10.3,74.9-79.8
19,9-10.9,77.7-81.7,8.3-10.5,75.8-80.6
20,9.1-11.1,78.6-82.5,8.4-10.7,76.7-81.4
21,9.3-11.3,79.4-83.3,8.6-10.9,77.5-82.2
22,9.4-11.5,80.2-84.1,8.7-11,78.4-83
23,9.6-11.7,81-84.9,8.9-11.2,79.2-83.8
24,9.7-12,81.7-85.6,9.0-11.5,80-84.5
25,9.8-12.2,81.7-86.4,9.2-11.7,80-85.3
26,10-12.4,82.5-87.2,9.4-11.9,80.8-86.1
27,10.1-12.6,83.1-87.9,9.5-12.1,81.5-86.8
28,10.2-12.8,83.8-88.7,9.7-12.3,82.2-87.6
29,10.4-13,84.5-89.5,9.9-12.5,82.9-88.4
30,10.5-13.2,85.1-90.3,10.1-12.7,83.6-89.2
31,10.6-13.4,85.7-91.1,10.2-12.9,84.3-90
32,10.7-13.6,86.4-91.8,10.3-13.1,84.9-90.7
33,10.9-13.8,86.9-92.6,10.4-13.3,85.6-91.5
34,11-13.9,87.5-93.4,10.6-13.5,86.2-92.3
35,11.1-14.1,88.1-94.2,10.7-13.7,86.8-93.1
36,11.2-14.3,88.7-94.9,10.8-13.9,87.4-93.9
37,11.3-14.4,89.2-95.6,11-14.1,88-94.5
38,11.5-14.6,89.8-96.2,11.1-14.3,88.6-95.2
39,11.6-14.7,90.3-96.9,11.2-14.4,89.2-95.8
40,11.7-14.9,90.9-97.5,11.4-14.6,89.8-96.5
41,11.8-15,91.4-98.2,11.5-14.8,90.4-97.1
42,12-15.1,91.9-98.9,11.6-15,90.9-97.8
43,12.1-15.3,92.4-99.5,11.7-15.1,91.5-98.4
44,12.2-15.5,93-100.2,11.9-15.3,92-99.1
45,12.3-15.7,93.5-100.8,12-15.5,92.5-99.7
46,12.4-15.8,94-101.5,12.1-15.7,93.1-100.4
47,12.5-16,94.4-102.2,12.2-15.8,93.6-101.0
48,12.7-16.2,94.9-102.8,12.4-16,94.1-101.6
49,12.8-16.3,95.4-103.4,12.5-16.2,94.6-102.2
50,12.9-16.5,95.9-104,12.6-16.4,95.1-102.8
51,13-16.7,96.4-104.6,12.7-16.6,95.6-103.4
52,13.2-16.9,96.9-105.1,12.8-16.8,96.1-103.9
53,13.3-17.1,97.4-105.7,13.0-16.9,96.6-104.5
54,13.4-17.2,97.8-106.3,13.1-17.1,97.1-105.1
55,13.5-17.4,98.3-106.9,13.2-17.3,97.6-105.6
56,13.6-17.6,98.8-107.5,13.3-17.5,98.1-106.2
57,13.8-17.7,99.3-108,13.4-17.7,98.5-106.8
58,13.9-17.9,99.7-108.6,13.5-17.8,99-107.3
59,14-18.1,100.2-109.2,13.7-18,99.5-107.9
60,14.4-18.3,100.7-109.8,13.8-18.2,99.9-108.5